2024-07-31 04:07:30.372 -07:00 | Internal            | Logger         | Started logging.
2024-07-31 04:07:30.372 -07:00 | Internal            | Logger         | Game version: 13.5.1.
2024-07-31 04:07:30.372 -07:00 | Internal            | Logger         | Build type: Release.
2024-07-31 04:07:30.372 -07:00 | Internal            | Logger         | Build timestamp: 2024-07-20 16:26:48Z.
2024-07-31 04:07:30.372 -07:00 | Internal            | Logger         | Headless: True.
2024-07-31 04:07:35.133 -07:00 | Connection update   | Networking     | 76561199154056693@steam preauthenticated from endpoint 95.25.208.62:64878.
2024-07-31 04:07:35.292 -07:00 | Connection update   | Networking     | 76561199746937571@steam preauthenticated from endpoint 178.155.28.44:53509.
2024-07-31 04:07:35.404 -07:00 | Connection update   | Networking     | 76561199159870190@steam preauthenticated from endpoint 31.181.3.164:50177.
2024-07-31 04:07:35.671 -07:00 | Connection update   | Networking     | 76561198314607420@steam preauthenticated from endpoint 83.139.129.63:1554.
2024-07-31 04:07:35.782 -07:00 | Connection update   | Networking     | 76561199738553167@steam preauthenticated from endpoint 94.233.248.56:6536.
2024-07-31 04:07:36.045 -07:00 | Connection update   | Networking     | 76561199570076571@steam preauthenticated from endpoint 95.25.172.70:1685.
2024-07-31 04:07:37.982 -07:00 | Connection update   | Networking     | 76561199117062902@steam preauthenticated from endpoint 95.32.158.12:1380.
2024-07-31 04:07:38.402 -07:00 | Connection update   | Networking     | 76561199679533843@steam preauthenticated from endpoint 178.172.188.173:56927.
2024-07-31 04:07:38.498 -07:00 | Connection update   | Networking     | 76561199025407810@steam preauthenticated from endpoint 83.234.146.208:64445.
2024-07-31 04:07:40.493 -07:00 | Connection update   | Networking     | 76561198974930842@steam preauthenticated from endpoint 95.71.82.249:55545.
2024-07-31 04:07:40.958 -07:00 | Connection update   | Networking     | 76561199523435144@steam preauthenticated from endpoint 195.64.157.2:3490.
2024-07-31 04:07:42.095 -07:00 | Connection update   | Networking     | 76561199746937571@steam authenticated from endpoint 178.155.28.44:53509. Player ID assigned: 3. Auth token serial number: ebUacHvM-qH5s1ndr.
2024-07-31 04:07:42.095 -07:00 | Connection update   | Networking     | Nickname of 76561199746937571@steam is now eshkeree148i.
