2024-07-27 04:18:04.268 -07:00 | Internal            | Logger         | Started logging.
2024-07-27 04:18:04.270 -07:00 | Internal            | Logger         | Game version: 13.5.1.
2024-07-27 04:18:04.270 -07:00 | Internal            | Logger         | Build type: Release.
2024-07-27 04:18:04.270 -07:00 | Internal            | Logger         | Build timestamp: 2024-07-20 16:26:48Z.
2024-07-27 04:18:04.270 -07:00 | Internal            | Logger         | Headless: True.
2024-07-27 08:35:17.101 -07:00 | Connection update   | Networking     | 76561199635120065@steam preauthenticated from endpoint 178.121.19.82:48771.
2024-07-27 08:35:27.565 -07:00 | Connection update   | Networking     | 76561199635120065@steam authenticated from endpoint 178.121.19.82:48771. Player ID assigned: 2. Auth token serial number: 1PZvF8it-MF369kvF.
2024-07-27 08:35:27.577 -07:00 | Connection update   | Networking     | Nickname of 76561199635120065@steam is now kaneki.
2024-07-27 08:37:19.068 -07:00 | Connection update   | Networking     | kaneki (76561199635120065@steam) disconnected from IP address 178.121.19.82. Last class: None.
2024-07-27 23:36:10.936 -07:00 | Connection update   | Networking     | 76561199130413743@steam preauthenticated from endpoint 5.44.173.29:63646.
2024-07-27 23:37:07.993 -07:00 | Connection update   | Networking     | 76561199130413743@steam authenticated from endpoint 5.44.173.29:63646. Player ID assigned: 3. Auth token serial number: nNahDvGO-SCodRClq.
2024-07-27 23:37:07.995 -07:00 | Connection update   | Networking     | Nickname of 76561199130413743@steam is now sashasashaYT_top4ik.
2024-07-27 23:37:08.023 -07:00 | Connection update   | Permissions    | sashasashaYT_top4ik (76561199130413743@steam) has been assigned to group Создатель 👑.
2024-07-27 23:37:18.904 -07:00 | Remote Admin        | Administrative | sashasashaYT_top4ik (76561199130413743@steam) enabled round lock.
2024-07-27 23:37:19.955 -07:00 | Game Event          | Logger         | Round has been started.
2024-07-27 23:37:19.955 -07:00 | Remote Admin        | Administrative | sashasashaYT_top4ik (76561199130413743@steam) forced round start.
2024-07-27 23:37:23.669 -07:00 | Remote Admin        | Class change   | sashasashaYT_top4ik (76561199130413743@steam) changed role of player sashasashaYT_top4ik (76561199130413743@steam) to Spectator.
2024-07-27 23:38:17.807 -07:00 | Connection update   | Networking     | sashasashaYT_top4ik (76561199130413743@steam) disconnected from IP address 5.44.173.29. Last class: Spectator.
